Name,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pasquale Mazzocchi,it ITA,DF,28-211,5,2,193.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.2,10.0,8.0,12.0,0.0,0.47,0.47,0.0,0.47,0.05,0.02,0.07,0.05,0.07,Matches
Jesper Lindstrøm,dk DEN,"FW,MF",23-359,15,1,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,14.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.18,0.27,0.45,0.18,0.45,Matches
Gianluca Gaetano,it ITA,MF,23-294,9,1,161.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.5,1.1,6.0,6.0,5.0,0.56,0.0,0.56,0.56,0.56,0.35,0.27,0.62,0.35,0.62,Matches
Alessio Zerbin,it ITA,"FW,DF",24-357,7,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.9,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,0.52,0.15,0.52,Matches
Diego Demme,de GER,MF,32-094,2,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hamed Junior Traorè,ci CIV,MF,24-007,1,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.15,0.23,0.08,0.23,Matches
Cyril Ngonge,be BEL,FW,23-273,4,0,75.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,3.0,0.0,10.0,1.2,0.0,1.2,1.2,1.2,0.69,0.0,0.69,0.69,0.69,Matches
Alessandro Zanoli,it ITA,"DF,FW",23-143,4,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nikita Contini Baranovsky,it ITA,GK,27-278,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leander Dendoncker,be BEL,MF,28-314,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luigi D'Avino,it ITA,DF,18-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Francesco Gioielli,it ITA,MF,19-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hubert Idasiak,pl POL,GK,22-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hirving Lozano,mx MEX,"FW,MF",28-208,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorenzo Russo,it ITA,MF,18-310,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Karim Zedadka,fr FRA,DF,23-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.8,24,264,2160.0,24.0,32.0,22.0,54.0,27.0,5.0,7.0,58.0,4.0,38.0,32.4,26.2,58.6,518.0,1091.0,1082.0,1.33,0.92,2.25,1.13,2.04,1.58,1.09,2.67,1.35,2.44,
Opponent Total,,,27.3,24,264,2160.0,24.0,28.0,23.0,51.0,27.0,1.0,2.0,60.0,2.0,23.9,22.5,19.3,41.8,366.0,698.0,692.0,1.17,0.96,2.12,1.13,2.08,0.99,0.8,1.8,0.94,1.74,
