"Team_Name","Home_xG_Conceded","Home_xG_Scored","Away_xG_Scored","Away_xG_Conceded"
Arsenal,0.62,2.27333333333333,1.61764705882353,0.788235294117647
Aston_Villa,1.04666666666667,2.00666666666667,1.4375,1.45
Bournemouth,1.37272727272727,1.29090909090909,1.6,1.80769230769231
Brentford,1.59230769230769,1.72307692307692,1.49166666666667,1.40833333333333
Brighton,1.24,1.92,1.45,1.4625
Burnley,1.53846153846154,1,0.85,1.95833333333333
Chelsea,1.25,2.08333333333333,1.67692307692308,1.76153846153846
Crystal Palace,1.26666666666667,1.14166666666667,1.07692307692308,1.68461538461538
Everton,1.2,1.81538461538462,1.15833333333333,1.51666666666667
Fulham,1.38461538461538,1.59230769230769,0.9,2.14166666666667
Liverpool,0.89375,2.88125,1.53125,1.5125
Luton_Town,1.61538461538462,1.42307692307692,0.966666666666667,2.475
Manchester_City,0.775,2.025,2.38125,0.91875
Manchester_Utd,1.62,1.59333333333333,1.5875,1.79375
Newcastle_Utd,1.4125,2.09375,1.37333333333333,2.25333333333333
Nott'ham_Forest,1.04615384615385,1.25384615384615,1.175,1.8
Sheffield_Utd,2.1,1.16923076923077,0.683333333333333,1.91666666666667
Tottenham,1.76153846153846,2.01538461538462,1.43333333333333,1.66666666666667
West_Ham,1.52666666666667,1.3,1.35625,1.7375
Wolves,1.65833333333333,1.34166666666667,1.44615384615385,1.73846153846154
