"Team_Name","Home_xG_Conceded","Home_xG_Scored","Away_xG_Scored","Away_xG_Conceded"
Arsenal,0.62,2.27333333333333,1.61764705882353,0.788235294117647
Aston Villa,1.04666666666667,2.00666666666667,1.4375,1.45
Bournemouth,1.37272727272727,1.29090909090909,1.6,1.80769230769231
Brentford,1.59230769230769,1.72307692307692,1.49166666666667,1.40833333333333
Brighton,1.24,1.92,1.45,1.4625
Burnley,1.53846153846154,1,0.85,1.95833333333333
Chelsea,1.25,2.08333333333333,1.67692307692308,1.76153846153846
Crystal Palace,1.26666666666667,1.14166666666667,1.07692307692308,1.68461538461538
Everton,1.2,1.81538461538462,1.15833333333333,1.51666666666667
Fulham,1.38461538461538,1.59230769230769,0.9,2.14166666666667
Liverpool,0.89375,2.88125,1.53125,1.5125
Luton Town,1.61538461538462,1.42307692307692,0.966666666666667,2.475
Manchester City,0.775,2.025,2.38125,0.91875
Manchester Utd,1.62,1.59333333333333,1.5875,1.79375
Newcastle Utd,1.4125,2.09375,1.37333333333333,2.25333333333333
Nott'ham Forest,1.04615384615385,1.25384615384615,1.175,1.8
Sheffield Utd,2.1,1.16923076923077,0.683333333333333,1.91666666666667
Tottenham,1.76153846153846,2.01538461538462,1.43333333333333,1.66666666666667
West Ham,1.52666666666667,1.3,1.35625,1.7375
Wolves,1.65833333333333,1.34166666666667,1.44615384615385,1.73846153846154
Atalanta,1,1.98125,1.36428571428571,1.23571428571429
Bologna,0.871428571428571,1.3,1.15833333333333,1.09166666666667
Cagliari,1.175,1.44166666666667,0.746153846153846,1.73076923076923
Empoli,1.3,1.03846153846154,0.992307692307692,1.34615384615385
Fiorentina,0.96,1.50666666666667,1.18125,1.4625
Frosinone,1.29230769230769,1.23076923076923,1.10833333333333,1.89166666666667
Genoa,1.04615384615385,0.9,0.792307692307692,0.969230769230769
Hellas Verona,1.13333333333333,0.991666666666667,0.835714285714286,1.37142857142857
Inter,0.71875,2.43125,1.78666666666667,0.873333333333333
Juventus,0.591666666666667,1.5,1.52307692307692,0.830769230769231
Lazio,0.85625,1.30625,1.175,1.34375
Lecce,1.33333333333333,1.25,0.907692307692308,1.64615384615385
Milan,1.075,1.7,1.53529411764706,1.46470588235294
Monza,1.40769230769231,1.13846153846154,1.00769230769231,1.46153846153846
Napoli,1.03125,1.725,1.32,1.08666666666667
Roma,0.694117647058824,1.58235294117647,1.2,1.15
Salernitana,1.73571428571429,0.921428571428571,0.55,2.09166666666667
Sassuolo,1.40833333333333,1.20833333333333,1.12307692307692,1.85384615384615
Torino,0.7,1.24615384615385,0.825,1.15
Udinese,1.15384615384615,1.27692307692308,0.8,1.49230769230769
Alaves,0.961538461538462,1.39230769230769,1.11538461538462,1.43076923076923
Almeria,1.46923076923077,1.46153846153846,1.1,1.89230769230769
Athletic Bilbao,0.915384615384615,2.11538461538462,1.06153846153846,1.05384615384615
Atletico Madrid,0.925,2.0375,1.31176470588235,1.27058823529412
Barcelona,1.15882352941176,2.35294117647059,1.80625,0.925
Cadiz,0.853846153846154,1.08461538461538,0.615384615384615,1.99230769230769
Celta Vigo,1.12307692307692,1.41538461538462,1.04615384615385,1.80769230769231
Getafe,1.15,1.11666666666667,1.18571428571429,1.68571428571429
Girona,1.15833333333333,1.63333333333333,1.77692307692308,1.7
Granada,1.63846153846154,1.37692307692308,0.933333333333333,1.74166666666667
Las Palmas,1.30769230769231,0.930769230769231,0.723076923076923,1.54615384615385
Mallorca,0.884615384615385,0.838461538461538,1.33076923076923,1.57692307692308
Osasuna,1.12307692307692,1.26923076923077,0.984615384615385,1.40769230769231
Rayo Vallecano,0.875,1.225,0.907692307692308,1.36923076923077
Real Betis,0.966666666666667,1.41111111111111,0.99375,1.5375
Real Madrid,0.7875,2.33125,1.5,1.20588235294118
Real Sociedad,0.94375,1.36875,1.12941176470588,0.970588235294118
Sevilla,1.5625,1.275,0.75,1.45625
Valencia,0.875,1.225,0.907692307692308,1.36923076923077
Villareal,1.425,1.5,1.3125,1.7
