Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2024-03-10,,Serie A,Matchweek 28,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,
2024-03-13,21:00,Champions Lg,Round of 16,Wed,Away,,,,es Atlético Madrid,,,,,,,,Head-to-Head,Leg 2 of 2; Inter 1:0 Atlético Madrid
2024-03-17,,Serie A,Matchweek 29,Sun,Home,,,,Napoli,,,,,,,,Head-to-Head,
2024-03-30,,Serie A,Matchweek 30,Sat,Home,,,,Empoli,,,,,,,,Head-to-Head,
2024-04-07,,Serie A,Matchweek 31,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,
2024-04-14,,Serie A,Matchweek 32,Sun,Home,,,,Cagliari,,,,,,,,Head-to-Head,
2024-04-21,,Serie A,Matchweek 33,Sun,Away,,,,Milan,,,,,,,,Head-to-Head,
2024-04-28,,Serie A,Matchweek 34,Sun,Home,,,,Torino,,,,,,,,Head-to-Head,
2024-05-05,,Serie A,Matchweek 35,Sun,Away,,,,Sassuolo,,,,,,,,Head-to-Head,
2024-05-12,,Serie A,Matchweek 36,Sun,Away,,,,Frosinone,,,,,,,,Head-to-Head,
2024-05-19,,Serie A,Matchweek 37,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,
2024-05-26,,Serie A,Matchweek 38,Sun,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,
